Sample5;;Sample5;;Sample5;;Sample5;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs
;;;;;;;
;;;;;;;
729.94495;-0.00915;729.94495;-0.00861;729.94495;-0.00788;729.94495;-0.00794
728.95038;-0.00903;728.95038;-0.00877;728.95038;-0.00762;728.95038;-0.00792
727.95551;-0.0094;727.95551;-0.00905;727.95551;-0.00812;727.95551;-0.00832
726.96027;-0.00915;726.96027;-0.00907;726.96027;-0.0078;726.96027;-0.00804
725.96466;-0.00931;725.96466;-0.00942;725.96466;-0.00785;725.96466;-0.00816
724.96869;-0.00926;724.96869;-0.00928;724.96869;-0.00764;724.96869;-0.00793
723.97241;-0.00931;723.97241;-0.00942;723.97241;-0.00788;723.97241;-0.00796
722.97577;-0.00943;722.97577;-0.00933;722.97577;-0.00779;722.97577;-0.008
721.97882;-0.00951;721.97882;-0.00943;721.97882;-0.00779;721.97882;-0.00816
720.98151;-0.00911;720.98151;-0.00921;720.98151;-0.00757;720.98151;-0.00783
719.98389;-0.00937;719.98389;-0.00931;719.98389;-0.00741;719.98389;-0.00785
718.98584;-0.00948;718.98584;-0.00936;718.98584;-0.00753;718.98584;-0.00805
717.98755;-0.00931;717.98755;-0.0094;717.98755;-0.00729;717.98755;-0.00787
716.98889;-0.00933;716.98889;-0.00924;716.98889;-0.00729;716.98889;-0.00768
715.98987;-0.00938;715.98987;-0.00926;715.98987;-0.00703;715.98987;-0.00785
714.99054;-0.00937;714.99054;-0.00927;714.99054;-0.00713;714.99054;-0.00789
713.99084;-0.00954;713.99084;-0.00946;713.99084;-0.00731;713.99084;-0.00807
712.99078;-0.00948;712.99078;-0.00952;712.99078;-0.00744;712.99078;-0.00784
711.99048;-0.00924;711.99048;-0.00923;711.99048;-0.00724;711.99048;-0.00777
710.98975;-0.00926;710.98975;-0.00935;710.98975;-0.00763;710.98975;-0.00799
709.98871;-0.00923;709.98871;-0.00938;709.98871;-0.00754;709.98871;-0.008
708.98737;-0.00918;708.98737;-0.00938;708.98737;-0.00788;708.98737;-0.00821
707.98566;-0.00934;707.98566;-0.00936;707.98566;-0.00797;707.98566;-0.0086
706.98364;-0.00937;706.98364;-0.00959;706.98364;-0.00816;706.98364;-0.00851
705.98126;-0.00908;705.98126;-0.00933;705.98126;-0.00832;705.98126;-0.00832
704.97858;-0.00876;704.97858;-0.00938;704.97858;-0.0082;704.97858;-0.00845
703.97552;-0.00915;703.97552;-0.00939;703.97552;-0.0083;703.97552;-0.00876
702.97217;-0.00879;702.97217;-0.00938;702.97217;-0.00847;702.97217;-0.00855
701.96844;-0.00892;701.96844;-0.00969;701.96844;-0.00885;701.96844;-0.00866
700.96442;-0.00899;700.96442;-0.00973;700.96442;-0.00894;700.96442;-0.00869
699.96008;-0.00914;699.96008;-0.00988;699.96008;-0.00907;699.96008;-0.00884
698.95538;-0.00905;698.95538;-0.00965;698.95538;-0.00905;698.95538;-0.00893
697.95038;-0.00884;697.95038;-0.00936;697.95038;-0.0087;697.95038;-0.00878
696.94501;-0.00873;696.94501;-0.00965;696.94501;-0.00909;696.94501;-0.00862
695.93933;-0.00894;695.93933;-0.00936;695.93933;-0.00869;695.93933;-0.00863
694.93329;-0.00887;694.93329;-0.00979;694.93329;-0.00919;694.93329;-0.00922
694.07074;-0.00858;694.07074;-0.00952;694.07074;-0.00867;694.07074;-0.00893
693.06415;-0.0088;693.06415;-0.00971;693.06415;-0.00893;693.06415;-0.00912
692.05719;-0.00887;692.05719;-0.0098;692.05719;-0.00918;692.05719;-0.00931
691.04993;-0.00865;691.04993;-0.00965;691.04993;-0.00903;691.04993;-0.00917
690.0423;-0.00886;690.0423;-0.00985;690.0423;-0.00908;690.0423;-0.00944
689.03436;-0.00836;689.03436;-0.00962;689.03436;-0.00909;689.03436;-0.0094
688.02612;-0.00865;688.02612;-0.00992;688.02612;-0.00917;688.02612;-0.0094
687.01758;-0.00831;687.01758;-0.00955;687.01758;-0.00927;687.01758;-0.00944
686.00867;-0.00843;686.00867;-0.00932;686.00867;-0.0088;686.00867;-0.00923
684.99945;-0.00836;684.99945;-0.00967;684.99945;-0.00905;684.99945;-0.00944
683.98987;-0.00872;683.98987;-0.00979;683.98987;-0.00915;683.98987;-0.00928
682.97998;-0.00894;682.97998;-0.00994;682.97998;-0.00936;682.97998;-0.00973
681.96979;-0.00913;681.96979;-0.00992;681.96979;-0.00952;681.96979;-0.00948
680.95929;-0.00907;680.95929;-0.0099;680.95929;-0.00941;680.95929;-0.00951
679.94843;-0.00892;679.94843;-0.00948;679.94843;-0.00918;679.94843;-0.00939
678.93732;-0.00904;678.93732;-0.00961;678.93732;-0.00941;678.93732;-0.00965
678.07031;-0.00923;678.07031;-0.00961;678.07031;-0.00945;678.07031;-0.0097
677.05859;-0.00912;677.05859;-0.00973;677.05859;-0.0093;677.05859;-0.00967
676.04651;-0.00942;676.04651;-0.00964;676.04651;-0.0096;676.04651;-0.00981
675.03412;-0.00954;675.03412;-0.00975;675.03412;-0.00941;675.03412;-0.00958
674.02136;-0.00979;674.02136;-0.00994;674.02136;-0.00974;674.02136;-0.00989
673.00836;-0.00954;673.00836;-0.00979;673.00836;-0.00942;673.00836;-0.00964
671.995;-0.00966;671.995;-0.0097;671.995;-0.00958;671.995;-0.00972
670.98132;-0.00999;670.98132;-0.00969;670.98132;-0.00929;670.98132;-0.00967
669.96735;-0.01015;669.96735;-0.00993;669.96735;-0.0096;669.96735;-0.00989
668.95306;-0.00997;668.95306;-0.01017;668.95306;-0.00939;668.95306;-0.01004
667.93842;-0.01005;667.93842;-0.00984;667.93842;-0.0093;667.93842;-0.00992
667.06848;-0.0102;667.06848;-0.00992;667.06848;-0.00924;667.06848;-0.00974
666.05328;-0.00991;666.05328;-0.00995;666.05328;-0.00931;666.05328;-0.00968
665.03778;-0.01006;665.03778;-0.00987;665.03778;-0.00928;665.03778;-0.00986
664.02197;-0.00994;664.02197;-0.00989;664.02197;-0.00911;664.02197;-0.01001
663.0058;-0.01011;663.0058;-0.00999;663.0058;-0.00916;663.0058;-0.00981
661.98938;-0.01018;661.98938;-0.00985;661.98938;-0.00881;661.98938;-0.00971
660.9726;-0.01016;660.9726;-0.01014;660.9726;-0.00909;660.9726;-0.00995
659.95551;-0.01019;659.95551;-0.01014;659.95551;-0.00894;659.95551;-0.00981
658.93811;-0.01005;658.93811;-0.01005;658.93811;-0.00867;658.93811;-0.01006
658.0658;-0.0101;658.0658;-0.00992;658.0658;-0.00872;658.0658;-0.0099
657.04785;-0.01014;657.04785;-0.00996;657.04785;-0.00868;657.04785;-0.00986
656.02954;-0.0098;656.02954;-0.00997;656.02954;-0.0085;656.02954;-0.00964
655.01099;-0.00992;655.01099;-0.0099;655.01099;-0.00848;655.01099;-0.00979
653.99207;-0.00965;653.99207;-0.00987;653.99207;-0.00856;653.99207;-0.00967
652.97284;-0.00996;652.97284;-0.01017;652.97284;-0.0084;652.97284;-0.00954
651.95331;-0.00992;651.95331;-0.00979;651.95331;-0.0086;651.95331;-0.00957
650.93347;-0.01002;650.93347;-0.00991;650.93347;-0.00878;650.93347;-0.00969
650.05908;-0.01003;650.05908;-0.00973;650.05908;-0.0086;650.05908;-0.00957
649.0387;-0.00969;649.0387;-0.0095;649.0387;-0.00862;649.0387;-0.00911
648.01801;-0.01025;648.01801;-0.00984;648.01801;-0.0089;648.01801;-0.00965
646.99701;-0.00976;646.99701;-0.00941;646.99701;-0.00896;646.99701;-0.00897
645.97571;-0.01019;645.97571;-0.00952;645.97571;-0.00913;645.97571;-0.00938
644.95404;-0.00982;644.95404;-0.0097;644.95404;-0.00931;644.95404;-0.00919
